action;price;state
buyGBPUSD;1.28724;(1, -1, 0)
buyEURUSD;1.17024;(1, -1, 0)
buyGBPUSD;1.28749;(1, -1, 0)
buyGBPUSD;1.28755;(1, -1, 0)
buyGBPUSD;1.2875;(1, -1, 0)
buyGBPUSD;1.28754;(1, -1, 0)
buyGBPUSD;1.28749;(1, -1, 0)
buyGBPUSD;1.28749;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyEURUSD;1.17031;(1, -1, 0)
nothing;0.0;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyGBPUSD;1.28763;(1, -1, 0)
buyAUDUSD;0.78572;(1, -1, 0)
buyGBPUSD;1.2875;(1, -1, 0)
buyAUDUSD;0.78575;(1, -1, 0)
buyEURUSD;1.17058;(1, -1, 0)
buyGBPUSD;1.28767;(1, -1, 0)
buyEURUSD;1.17064;(1, -1, -1)
buyEURUSD;1.17052;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyAUDUSD;0.78584;(1, -1, 0)
buyGBPUSD;1.28718;(1, -1, 0)
buyAUDUSD;0.78584;(1, -1, 0)
buyEURUSD;1.17023;(1, -1, 0)
buyAUDUSD;0.78567;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyAUDUSD;0.78569;(1, -1, 0)
buyGBPUSD;1.28631;(1, -1, 0)
buyGBPUSD;1.28639;(1, -1, 0)
buyEURUSD;1.17024;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyGBPUSD;1.28664;(1, -1, 0)
buyAUDUSD;0.78574;(1, -1, 0)
buyGBPUSD;1.2868;(1, -1, 0)
buyAUDUSD;0.78578;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyGBPUSD;1.28694;(1, -1, 0)
buyGBPUSD;1.28693;(1, -1, 0)
buyAUDUSD;0.7856;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyEURUSD;1.17082;(1, -1, 0)
buyGBPUSD;1.28677;(1, -1, 0)
nothing;0.0;(1, -1, 0)
nothing;0.0;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyGBPUSD;1.2867;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyAUDUSD;0.78577;(1, -1, 0)
buyAUDUSD;0.78577;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyAUDUSD;0.78577;(1, -1, 0)
buyGBPUSD;1.28662;(1, -1, 0)
buyEURUSD;1.17035;(1, -1, 0)
buyAUDUSD;0.78574;(1, -1, 0)
buyAUDUSD;0.78564;(1, -1, 0)
