Gain/Loss_nreal;Gain/Loss_real;USD;USD_net;time
-103.20536000000006;378.3579599999917;95177.35796000001;95074.1526;1915
-106.8930799999932;378.3579599999917;95177.35796000001;95070.46488000001;1916
-107.54234999999409;378.3579599999917;95177.35796000001;95069.81561000002;1917
-93.96881000000015;378.3579599999917;95177.35796000001;95083.38915;1918
-109.92000999999343;378.3579599999917;95177.35796000001;95067.43795000002;1919
-113.26870999999612;378.3579599999917;95177.35796000001;95064.08925000002;1920
-105.29479000000013;378.3579599999917;95177.35796000001;95072.06317000001;1921
-100.39039000000005;378.3579599999917;95177.35796000001;95076.96757000001;1922
-110.12633999999743;378.3579599999917;95177.35796000001;95067.23162;1923
-126.16651999999696;378.3579599999917;95177.35796000001;95051.19144000001;1924
-111.68029000000227;378.3579599999917;95177.35796000001;95065.67767;1925
-165.1469700000063;378.3579599999917;95177.35796000001;95012.21099;1926
-182.52775999999727;378.3579599999917;95177.35796000001;94994.83020000001;1927
-217.28554999999417;378.3579599999917;95177.35796000001;94960.07241000001;1928
-209.64077000000557;378.3579599999917;95177.35796000001;94967.71719;1929
-183.6433899999978;378.3579599999917;95177.35796000001;94993.71457000001;1930
-184.74814000000032;378.3579599999917;95177.35796000001;94992.60982000001;1931
-192.15815999999583;378.3579599999917;95177.35796000001;94985.19980000002;1932
-173.47516000000172;378.3579599999917;95177.35796000001;95003.8828;1933
-171.31646000000285;378.3579599999917;95177.35796000001;95006.0415;1934
-177.44469999999808;378.3579599999917;95177.35796000001;94999.91326000002;1935
-181.63451000000154;378.3579599999917;95177.35796000001;94995.72345;1936
-179.35623000000518;378.3579599999917;95177.35796000001;94998.00173;1937
-187.0121300000051;378.3579599999917;95177.35796000001;94990.34583;1938
-184.23947999999652;378.3579599999917;95177.35796000001;94993.11848000002;1939
-177.76930999999578;378.3579599999917;95177.35796000001;94999.58865000002;1940
-172.8654799999977;378.3579599999917;95177.35796000001;95004.49248000002;1941
-167.5177800000002;378.3579599999917;95177.35796000001;95009.84018000001;1942
-169.55360000000266;378.3579599999917;95177.35796000001;95007.80436000001;1943
-165.70215000000647;378.3579599999917;95177.35796000001;95011.65581;1944
-163.09197999999998;378.3579599999917;95177.35796000001;95014.26598000001;1945
-161.9238000000041;378.3579599999917;95177.35796000001;95015.43416;1946
-165.82632999999782;378.3579599999917;95177.35796000001;95011.53163000001;1947
-183.73211999999103;378.3579599999917;95177.35796000001;94993.62584000002;1948
-178.138360000002;378.3579599999917;95177.35796000001;94999.21960000001;1949
-184.10730999999834;378.3579599999917;95177.35796000001;94993.25065000002;1950
-165.17312999999703;378.3579599999917;95177.35796000001;95012.18483000001;1951
-154.9993299999975;378.3579599999917;95177.35796000001;95022.35863000002;1952
-138.85699000000508;378.3579599999917;95177.35796000001;95038.50097000001;1953
-131.92325000000142;378.3579599999917;95177.35796000001;95045.43471;1954
-162.19917999999805;378.3579599999917;95177.35796000001;95015.15878000001;1955
-147.93965000000128;378.3579599999917;95177.35796000001;95029.41831000001;1956
-152.49172999999308;378.3579599999917;95177.35796000001;95024.86623000001;1957
-138.75514000000197;378.3579599999917;95177.35796000001;95038.60282;1958
-157.57883000000638;378.3579599999917;95177.35796000001;95019.77913;1959
-154.5394800000049;388.43495999999175;95187.43496000001;95032.89548;1960
-149.50602999999407;388.43495999999175;95187.43496000001;95037.92893000002;1961
-137.12787000000296;388.43495999999175;95187.43496000001;95050.30709000002;1962
-138.2296899999931;388.43495999999175;95187.43496000001;95049.20527000002;1963
-127.56180000000695;388.43495999999175;95187.43496000001;95059.87316;1964
-138.0049999999951;388.43495999999175;95187.43496000001;95049.42996000002;1965
-147.03672999999284;388.43495999999175;95187.43496000001;95040.39823000002;1966
-148.39451999999145;388.43495999999175;95187.43496000001;95039.04044000003;1967
-156.53579999999468;388.43495999999175;95187.43496000001;95030.89916000002;1968
-131.68984000000148;388.43495999999175;95187.43496000001;95055.74512;1969
-136.33010999999394;388.43495999999175;95187.43496000001;95051.10485000002;1970
-138.38274999999413;388.43495999999175;95187.43496000001;95049.05221000002;1971
-153.3877;388.43495999999175;95187.43496000001;95034.04726;1972
-141.6323499999956;388.43495999999175;95187.43496000001;95045.80261000001;1973
-152.8561899999982;388.43495999999175;95187.43496000001;95034.57877000002;1974
-139.66827000000086;388.43495999999175;95187.43496000001;95047.76669000002;1975
-139.35786000000286;388.43495999999175;95187.43496000001;95048.07710000001;1976
-134.1774900000002;388.43495999999175;95187.43496000001;95053.25747000001;1977
-134.2994899999984;388.43495999999175;95187.43496000001;95053.13547000001;1978
-142.42902999999802;388.43495999999175;95187.43496000001;95045.00593000001;1979
-144.1024599999922;388.43495999999175;95187.43496000001;95043.33250000002;1980
-150.3528399999917;388.43495999999175;95187.43496000001;95037.08212000002;1981
-117.52194999999843;388.43495999999175;95187.43496000001;95069.91301000002;1982
-114.08125999999234;388.43495999999175;95187.43496000001;95073.35370000002;1983
-115.06156000000546;388.43495999999175;95187.43496000001;95072.37340000001;1984
-120.65860999999043;388.43495999999175;95187.43496000001;95066.77635000003;1985
-123.76351999999403;388.43495999999175;95187.43496000001;95063.67144000002;1986
-140.42383999999845;388.43495999999175;95187.43496000001;95047.01112000001;1987
-156.89792000000605;388.43495999999175;95187.43496000001;95030.53704000001;1988
-157.89491999999677;388.43495999999175;95187.43496000001;95029.54004000002;1989
-157.25213999999391;388.43495999999175;95187.43496000001;95030.18282000002;1990
-162.06904000000185;388.43495999999175;95187.43496000001;95025.36592000001;1991
-179.50723000000534;388.43495999999175;95187.43496000001;95007.92773000001;1992
-169.79810999999296;388.43495999999175;95187.43496000001;95017.63685000002;1993
-146.9872099999988;388.43495999999175;95187.43496000001;95040.44775000002;1994
-144.6172200000035;388.43495999999175;95187.43496000001;95042.81774000001;1995
-138.45767999999137;388.43495999999175;95187.43496000001;95048.97728000002;1996
-142.91398999999234;398.6296699999932;95197.62967000001;95054.71568000002;1997
-140.7895999999939;398.6296699999932;95197.62967000001;95056.84007000002;1998
-148.23401000000533;398.6296699999932;95197.62967000001;95049.39566000001;1999
-153.63071000000704;398.6296699999932;95197.62967000001;95043.99896;2000
-141.00617999999878;398.6296699999932;95197.62967000001;95056.62349000001;2001
-143.3694399999922;398.6296699999932;95197.62967000001;95054.26023000001;2002
-144.04912999999684;398.6296699999932;95197.62967000001;95053.58054000001;2003
-142.83374000000413;398.6296699999932;95197.62967000001;95054.79593000001;2004
-175.8176200000088;398.6296699999932;95197.62967000001;95021.81205000001;2005
-173.05111999999872;398.6296699999932;95197.62967000001;95024.57855;2006
-176.7056800000011;398.6296699999932;95197.62967000001;95020.92399000001;2007
-191.0327799999957;398.6296699999932;95197.62967000001;95006.59689000002;2008
-193.36441999999417;398.6296699999932;95197.62967000001;95004.26525000001;2009
-193.5376200000048;398.6296699999932;95197.62967000001;95004.09205;2010
-187.48813999999783;398.6296699999932;95197.62967000001;95010.14153000001;2011
-185.72733999999957;398.6296699999932;95197.62967000001;95011.90233000001;2012
-180.82662000000397;398.6296699999932;95197.62967000001;95016.80305;2013
-165.45486000000332;398.6296699999932;95197.62967000001;95032.17481000001;2014
-134.81954000000061;398.6296699999932;95197.62967000001;95062.81013000001;2015
-137.2402599999966;398.6296699999932;95197.62967000001;95060.38941000002;2016
-125.84604999999789;398.6296699999932;95197.62967000001;95071.78362000002;2017
-123.61093000000184;398.6296699999932;95197.62967000001;95074.01874000001;2018
-130.21988000000658;398.6296699999932;95197.62967000001;95067.40979;2019
-110.20857999999218;398.6296699999932;95197.62967000001;95087.42109000002;2020
-108.09444000000317;398.6296699999932;95197.62967000001;95089.53523000001;2021
-82.1243499999914;398.6296699999932;95197.62967000001;95115.50532000001;2022
-74.37401999999975;398.6296699999932;95197.62967000001;95123.25565;2023
-76.82861999999675;398.6296699999932;95197.62967000001;95120.80105000001;2024
-68.452280000003;398.6296699999932;95197.62967000001;95129.17739000001;2025
-61.28791999999166;398.6296699999932;95197.62967000001;95136.34175000002;2026
-73.30213999999307;398.6296699999932;95197.62967000001;95124.32753000001;2027
-76.17307000000818;408.929679999993;95207.92968000002;95131.75661000001;2028
-85.76788000000816;408.929679999993;95207.92968000002;95122.1618;2029
-62.30227000000136;408.929679999993;95207.92968000002;95145.62741000002;2030
-72.4242300000054;408.929679999993;95207.92968000002;95135.50545000001;2031
-74.25428999999708;408.929679999993;95207.92968000002;95133.67539000002;2032
-73.66385999999791;408.929679999993;95207.92968000002;95134.26582000002;2033
-76.231440000009;408.929679999993;95207.92968000002;95131.69824000001;2034
-67.15781000000388;408.929679999993;95207.92968000002;95140.77187000001;2035
-45.071429999998244;408.929679999993;95207.92968000002;95162.85825000002;2036
-47.68674999999071;408.929679999993;95207.92968000002;95160.24293000002;2037
-32.6839499999984;408.929679999993;95207.92968000002;95175.24573000002;2038
-34.882569999999454;408.929679999993;95207.92968000002;95173.04711000001;2039
-39.00230999999858;408.929679999993;95207.92968000002;95168.92737000002;2040
-42.38111000000196;408.929679999993;95207.92968000002;95165.54857000001;2041
-55.96234999999788;408.929679999993;95207.92968000002;95151.96733000001;2042
-83.6136299999997;408.929679999993;95207.92968000002;95124.31605000002;2043
-69.24870000000031;408.929679999993;95207.92968000002;95138.68098000002;2044
-99.14956000001001;408.929679999993;95207.92968000002;95108.78012000001;2045
-103.95290999999827;408.929679999993;95207.92968000002;95103.97677000002;2046
-95.41745999999915;408.929679999993;95207.92968000002;95112.51222000002;2047
-104.0642999999955;408.929679999993;95207.92968000002;95103.86538000002;2048
-115.72262000000576;408.929679999993;95207.92968000002;95092.20706000002;2049
-110.87584999999709;408.929679999993;95207.92968000002;95097.05383000002;2050
-99.64420999999302;408.929679999993;95207.92968000002;95108.28547000002;2051
-101.69098999999821;408.929679999993;95207.92968000002;95106.23869000001;2052
-97.0227299999936;408.929679999993;95207.92968000002;95110.90695000002;2053
-80.79533000000112;408.929679999993;95207.92968000002;95127.13435000001;2054
-86.59673000000845;408.929679999993;95207.92968000002;95121.33295000001;2055
-84.68179999999879;408.929679999993;95207.92968000002;95123.24788000001;2056
-71.91630000000754;408.929679999993;95207.92968000002;95136.01338;2057
-77.3520700000048;408.929679999993;95207.92968000002;95130.57761000001;2058
-112.49813999999901;408.929679999993;95207.92968000002;95095.43154000002;2059
-102.06962999999831;408.929679999993;95207.92968000002;95105.86005000002;2060
-102.7982100000034;408.929679999993;95207.92968000002;95105.13147000001;2061
-98.85547999999156;408.929679999993;95207.92968000002;95109.07420000002;2062
-108.08143000000247;408.929679999993;95207.92968000002;95099.84825000001;2063
-138.81197999999742;408.929679999993;95207.92968000002;95069.11770000002;2064
